ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,category_id,category_name,keyword,source_id,model
2024-06-02,5.139232487461179,9.158150964587778,22.151435884259495,5.139232487461179,5.139232487461179,2.0591108037758032,2.0591108037758032,2.0591108037758032,1.745038002189263,1.745038002189263,1.745038002189263,0.31407280158654005,0.31407280158654005,0.31407280158654005,0.0,0.0,0.0,15.721481625508087,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-06-09,5.141828577899425,9.51567498202805,22.053752825103597,5.141828577899425,5.141828577899425,2.0934698844353403,2.0934698844353403,2.0934698844353403,1.745038002189263,1.745038002189263,1.745038002189263,0.3484318822460772,0.3484318822460772,0.3484318822460772,0.0,0.0,0.0,15.906091856660863,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-06-16,5.14442466833767,9.77413864811947,22.009377766446917,5.14442466833767,5.14442466833767,2.1186272268221136,2.1186272268221136,2.1186272268221136,1.745038002189263,1.745038002189263,1.745038002189263,0.3735892246328505,0.3735892246328505,0.3735892246328505,0.0,0.0,0.0,16.04354283701318,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-06-23,5.147020758775916,8.458938578615726,21.052871688570338,5.147020758775916,5.147020758775916,1.8366881284904337,1.8366881284904337,1.8366881284904337,1.745038002189263,1.745038002189263,1.745038002189263,0.09165012630117061,0.09165012630117061,0.09165012630117061,0.0,0.0,0.0,14.600492683513467,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-06-30,5.149613243462663,5.415713794137386,18.53762233136407,5.149613243462663,5.149613243462663,1.2800307335657473,1.2800307335657473,1.2800307335657473,1.745038002189263,1.745038002189263,1.745038002189263,-0.46500726862351566,-0.46500726862351566,-0.46500726862351566,0.0,0.0,0.0,11.741276461072063,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-07-07,5.152205728149408,2.7602767977235767,16.00406470005262,5.152205728149408,5.152205728149408,0.7760769045363174,0.7760769045363174,0.7760769045363174,1.745038002189263,1.745038002189263,1.745038002189263,-0.9689610976529456,-0.9689610976529456,-0.9689610976529456,0.0,0.0,0.0,9.150713601185883,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-07-14,5.154798212836154,2.071149148332069,14.859813298926102,5.154798212836154,5.154798212836154,0.5925791176542387,0.5925791176542387,0.5925791176542387,1.745038002189263,1.745038002189263,1.745038002189263,-1.1524588845350243,-1.1524588845350243,-1.1524588845350243,0.0,0.0,0.0,8.209423989484247,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-07-21,5.157390697522899,2.1126525978487107,15.519845197206084,5.157390697522899,5.157390697522899,0.7044015923297632,0.7044015923297632,0.7044015923297632,1.745038002189263,1.745038002189263,1.745038002189263,-1.0406364098594998,-1.0406364098594998,-1.0406364098594998,0.0,0.0,0.0,8.790264917124738,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-07-28,5.159983182209644,2.9167481941287243,16.620202029507155,5.159983182209644,5.159983182209644,0.9229182408053479,0.9229182408053479,0.9229182408053479,1.745038002189263,1.745038002189263,1.745038002189263,-0.8221197613839151,-0.8221197613839151,-0.8221197613839151,0.0,0.0,0.0,9.92222578331975,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-08-04,5.162575666896391,4.938391431044475,17.37083677633105,5.162575666896391,5.162575666896391,1.1598387303512245,1.1598387303512245,1.1598387303512245,1.745038002189263,1.745038002189263,1.745038002189263,-0.5851992718380384,-0.5851992718380384,-0.5851992718380384,0.0,0.0,0.0,11.150330873731628,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-08-11,5.165168151583136,6.263674974464307,19.090630937933877,5.165168151583136,5.165168151583136,1.4668109365323159,1.4668109365323159,1.4668109365323159,1.745038002189263,1.745038002189263,1.745038002189263,-0.278227065656947,-0.278227065656947,-0.278227065656947,0.0,0.0,0.0,12.741493285353686,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-08-18,5.167760636269881,8.187938610093557,21.484752793520116,5.167760636269881,5.167760636269881,1.8357871477141945,1.8357871477141945,1.8357871477141945,1.745038002189263,1.745038002189263,1.745038002189263,0.09074914552493155,0.09074914552493155,0.09074914552493155,0.0,0.0,0.0,14.654669194797457,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-08-25,5.164948971341242,9.254381504600657,22.196388934572298,5.164948971341242,5.164948971341242,2.0819417738831607,2.0819417738831607,2.0819417738831607,1.745038002189263,1.745038002189263,1.745038002189263,0.33690377169389774,0.33690377169389774,0.33690377169389774,0.0,0.0,0.0,15.918071994751433,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-09-01,5.162137306412603,8.997978894995137,21.941940134835697,5.162137306412603,5.162137306412603,2.01305444915578,2.01305444915578,2.01305444915578,1.745038002189263,1.745038002189263,1.745038002189263,0.26801644696651716,0.26801644696651716,0.26801644696651716,0.0,0.0,0.0,15.553800778239529,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-09-08,5.159325641483964,7.724116659678908,20.4193125428448,5.159325641483964,5.159325641483964,1.6830302658943597,1.6830302658943597,1.6830302658943597,1.745038002189263,1.745038002189263,1.745038002189263,-0.06200773629490351,-0.06200773629490351,-0.06200773629490351,0.0,0.0,0.0,13.842626847706306,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-09-15,5.156513976555325,5.704752501803681,18.624129251796372,5.156513976555325,5.156513976555325,1.3814735355558279,1.3814735355558279,1.3814735355558279,1.745038002189263,1.745038002189263,1.745038002189263,-0.36356446663343517,-0.36356446663343517,-0.36356446663343517,0.0,0.0,0.0,12.28010157089025,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-09-22,5.153702311626686,4.996616958622304,19.207528233333342,5.153702311626686,5.153702311626686,1.332154326261032,1.332154326261032,1.332154326261032,1.745038002189263,1.745038002189263,1.745038002189263,-0.4128836759282308,-0.4128836759282308,-0.4128836759282308,0.0,0.0,0.0,12.019229142321658,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-09-29,5.150890646698047,5.841922349140303,18.592197509177492,5.150890646698047,5.150890646698047,1.4526601109743615,1.4526601109743615,1.4526601109743615,1.745038002189263,1.745038002189263,1.745038002189263,-0.29237789121490143,-0.29237789121490143,-0.29237789121490143,0.0,0.0,0.0,12.633384025147231,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-10-06,5.148078981769408,5.703728759497023,19.55887823140203,5.148078981769408,5.148078981769408,1.4713377072039573,1.4713377072039573,1.4713377072039573,1.745038002189263,1.745038002189263,1.745038002189263,-0.2737002949853057,-0.2737002949853057,-0.2737002949853057,0.0,0.0,0.0,12.722641707310892,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-10-13,5.145267316840769,5.314270192677627,18.41979189424831,5.145267316840769,5.145267316840769,1.2651258787922788,1.2651258787922788,1.2651258787922788,1.745038002189263,1.745038002189263,1.745038002189263,-0.4799121233969843,-0.4799121233969843,-0.4799121233969843,0.0,0.0,0.0,11.654678152680138,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-10-20,5.14245565191213,3.1585325037601706,16.39738706761158,5.14245565191213,5.14245565191213,1.0127874304789275,1.0127874304789275,1.0127874304789275,1.745038002189263,1.745038002189263,1.745038002189263,-0.7322505717103356,-0.7322505717103356,-0.7322505717103356,0.0,0.0,0.0,10.350670097964054,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-10-27,5.1382566322527214,3.9085401843916983,17.075174666867817,5.1382566322527214,5.1382566322527214,0.9862953353085321,0.9862953353085321,0.9862953353085321,1.745038002189263,1.745038002189263,1.745038002189263,-0.758742666880731,-0.758742666880731,-0.758742666880731,0.0,0.0,0.0,10.206095180261709,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
