ds,category_id,category_name,keyword,actual,predicted,forecast_error,forecast_error_abs,forecast_error_pct,rolling_mape_4w,uncertainty_tier,source_id,model
2026-08-09,health,Health & Personal Care,vitamins,58.0,63.35974994997075,-5.359749949970748,5.359749949970748,9.24094818960474,10.463501593466907,standard,SRC-TRENDS-001,prophet
2026-02-15,garden,"Patio, Lawn & Garden",lawn mower,20.0,15.517575111199646,4.482424888800354,4.482424888800354,22.412124444001773,,elevated,SRC-TRENDS-001,prophet
2026-02-22,garden,"Patio, Lawn & Garden",lawn mower,22.0,19.469848570688185,2.5301514293118146,2.5301514293118146,11.500688315053702,,elevated,SRC-TRENDS-001,prophet
2026-03-01,garden,"Patio, Lawn & Garden",lawn mower,27.0,24.37957699730499,2.6204230026950093,2.6204230026950093,9.705270380351887,,elevated,SRC-TRENDS-001,prophet
2026-03-08,garden,"Patio, Lawn & Garden",lawn mower,38.0,29.09723934676625,8.902760653233749,8.902760653233749,23.428317508509867,16.761600161979306,elevated,SRC-TRENDS-001,prophet
2026-03-15,garden,"Patio, Lawn & Garden",lawn mower,41.0,33.38928332566717,7.610716674332828,7.610716674332828,18.56272359593373,15.799249949962297,elevated,SRC-TRENDS-001,prophet
2026-03-22,garden,"Patio, Lawn & Garden",lawn mower,55.0,38.37669816037321,16.62330183962679,16.62330183962679,30.2241851629578,20.480124161938317,elevated,SRC-TRENDS-001,prophet
2026-03-29,garden,"Patio, Lawn & Garden",lawn mower,75.0,45.27455119966773,29.725448800332273,29.725448800332273,39.633931733776365,27.96228950029444,elevated,SRC-TRENDS-001,prophet
2026-04-05,garden,"Patio, Lawn & Garden",lawn mower,93.0,53.76722750122803,39.23277249877197,39.23277249877197,42.18577688039997,32.65165434326697,elevated,SRC-TRENDS-001,prophet
2026-04-12,garden,"Patio, Lawn & Garden",lawn mower,100.0,61.924705034916485,38.075294965083515,38.075294965083515,38.07529496508352,37.529797185554415,elevated,SRC-TRENDS-001,prophet
2026-04-19,garden,"Patio, Lawn & Garden",lawn mower,93.0,67.83686571348115,25.163134286518854,25.163134286518854,27.05713364141812,36.7380343051695,elevated,SRC-TRENDS-001,prophet
2026-04-26,garden,"Patio, Lawn & Garden",lawn mower,78.0,71.14099006498947,6.859009935010533,6.859009935010533,8.793602480782734,29.027951991921086,elevated,SRC-TRENDS-001,prophet
2026-05-03,garden,"Patio, Lawn & Garden",lawn mower,73.0,72.76740014976163,0.2325998502383726,0.2325998502383726,0.3186299318333871,18.56116525477944,elevated,SRC-TRENDS-001,prophet
2026-05-10,garden,"Patio, Lawn & Garden",lawn mower,81.0,73.36458724163774,7.635412758362264,7.635412758362264,9.426435504150945,11.398950389546297,elevated,SRC-TRENDS-001,prophet
2026-05-17,garden,"Patio, Lawn & Garden",lawn mower,90.0,72.40391798518506,17.59608201481494,17.59608201481494,19.551202238683267,9.522467538862584,elevated,SRC-TRENDS-001,prophet
2026-05-24,garden,"Patio, Lawn & Garden",lawn mower,83.0,69.05678115479617,13.94321884520383,13.94321884520383,16.79905884964317,11.523831631077691,elevated,SRC-TRENDS-001,prophet
2026-05-31,garden,"Patio, Lawn & Garden",lawn mower,86.0,63.72230920943528,22.27769079056472,22.27769079056472,25.904291616935726,17.92024705235327,elevated,SRC-TRENDS-001,prophet
2026-06-07,garden,"Patio, Lawn & Garden",lawn mower,80.0,58.26635327119459,21.73364672880541,21.73364672880541,27.16705841100676,22.35540277906723,elevated,SRC-TRENDS-001,prophet
2026-06-14,garden,"Patio, Lawn & Garden",lawn mower,81.0,54.57191747466164,26.42808252533836,26.42808252533836,32.62726237696094,25.624417813636647,elevated,SRC-TRENDS-001,prophet
2026-06-21,garden,"Patio, Lawn & Garden",lawn mower,78.0,52.99423211525317,25.00576788474683,25.00576788474683,32.05867677531645,29.43932229505497,elevated,SRC-TRENDS-001,prophet
2026-06-28,garden,"Patio, Lawn & Garden",lawn mower,61.0,52.380317976432096,8.619682023567904,8.619682023567904,14.130626268144104,26.49590595785706,elevated,SRC-TRENDS-001,prophet
2026-07-05,garden,"Patio, Lawn & Garden",lawn mower,55.0,51.47336052117936,3.526639478820641,3.526639478820641,6.4120717796738935,21.307159300023848,elevated,SRC-TRENDS-001,prophet
2026-07-12,garden,"Patio, Lawn & Garden",lawn mower,51.0,50.046223335105125,0.9537766648948747,0.9537766648948747,1.870150323323284,13.617881286614434,elevated,SRC-TRENDS-001,prophet
2026-07-19,garden,"Patio, Lawn & Garden",lawn mower,52.0,48.663058944468006,3.3369410555319945,3.3369410555319945,6.417194337561528,7.207510677175702,elevated,SRC-TRENDS-001,prophet
2026-07-26,garden,"Patio, Lawn & Garden",lawn mower,51.0,47.67691334771628,3.3230866522837204,3.3230866522837204,6.515856180948472,5.303818155376794,elevated,SRC-TRENDS-001,prophet
2026-08-02,garden,"Patio, Lawn & Garden",lawn mower,50.0,46.79135932347092,3.208640676529079,3.208640676529079,6.417281353058158,5.3051205487228605,elevated,SRC-TRENDS-001,prophet
2026-08-09,garden,"Patio, Lawn & Garden",lawn mower,53.0,45.54524449551597,7.454755504484027,7.454755504484027,14.065576423554768,8.353977073780731,elevated,SRC-TRENDS-001,prophet
2026-02-15,toys,Toys & Games,toys,51.0,41.27579020823921,9.724209791760792,9.724209791760792,19.067078023060372,,elevated,SRC-TRENDS-001,prophet
2026-02-22,toys,Toys & Games,toys,48.0,41.987174312363535,6.0128256876364645,6.0128256876364645,12.526720182575968,,elevated,SRC-TRENDS-001,prophet
2026-03-01,toys,Toys & Games,toys,46.0,42.32628323181111,3.673716768188889,3.673716768188889,7.986340800410628,,elevated,SRC-TRENDS-001,prophet
2026-03-08,toys,Toys & Games,toys,48.0,42.05118733252143,5.94881266747857,5.94881266747857,12.393359723913688,12.993374682490167,elevated,SRC-TRENDS-001,prophet
2026-03-15,toys,Toys & Games,toys,49.0,41.929581235491824,7.070418764508176,7.070418764508176,14.429426050016684,11.833961689229243,elevated,SRC-TRENDS-001,prophet
2026-03-22,toys,Toys & Games,toys,52.0,42.55297245332778,9.447027546672217,9.447027546672217,18.16736066667734,13.244121810254587,elevated,SRC-TRENDS-001,prophet
2026-03-29,toys,Toys & Games,toys,63.0,43.37407382777883,19.62592617222117,19.62592617222117,31.152263765430423,19.035602551509534,elevated,SRC-TRENDS-001,prophet
